Total,Speed,Direction
27.923622278145697,15.19936,ENE
30.009096141791044,13.85824,ENE
30.668421994285715,16.09344,NE
30.870549694444446,15.19936,NE
31.17981048888889,13.85824,NE
31.901138177777778,12.96416,NE
35.66870926035503,12.07008,NE
37.33917751724138,16.09344,NE
37.45147729213483,16.98752,NE
36.54288831666667,16.98752,NE
35.21220474444444,16.09344,NE
37.20784356666667,16.09344,NE
36.956693155555556,16.09344,NE
35.609221516666665,15.19936,NE
31.674190842696632,12.07008,NE
17.9859279,9.83488,NNE
9.809144538888889,8.9408,NNE
5.697844555555556,5.81152,NNE
0.9820833333333334,4.91744,NNE
0.8207150837988828,1.78816,ENE
5.270105655555556,4.02336,SSE
16.336909284090908,8.04672,SE
19.31850863841808,11.176,SE
19.08173346111111,9.83488,SE
19.684172766666666,8.04672,S
12.151344505555555,8.04672,SSW
21.0365502,7.15264,S
17.524572366666668,7.15264,SW
14.319994516666666,8.9408,SW
24.317858717514124,8.04672,S
36.85341827932961,9.83488,SSE
37.175488522222224,16.98752,SSE
27.55956671111111,16.09344,S
35.5543497,9.83488,S
33.95587236111111,11.176,S
27.765670802631583,8.9408,SSW
2.3389444444444445,4.02336,SE
1.0366055555555556,3.12928,SSE
0.7860222222222223,1.78816,ENE
1.1855166666666668,1.78816,ENE
1.7166277777777776,4.02336,ENE
1.6445777777777777,4.91744,ENE
1.8504166666666666,4.02336,E
1.9265611111111112,4.02336,E
6.9007832944444445,4.02336,ESE
9.972439022222222,7.15264,ESE
23.666861172222223,8.9408,SE
26.55315537777778,11.176,SE
10.533866677777779,9.83488,SE
14.914357586592178,7.15264,S
2.916234636871508,4.91744,WNW
3.1209166666666666,4.02336,SSW
5.162216633333333,4.02336,SSW
7.22096115,7.15264,SW
7.571816677777777,5.81152,SSW
8.584538944444445,5.81152,SSW
12.528325994382023,5.81152,SW
14.924022350000001,5.81152,SSW
14.144000183333333,8.04672,SW
6.839219106741573,8.04672,SW
6.978916672222223,4.91744,SSW
30.19987191666667,8.04672,SSE
37.51084955555555,12.96416,SSE
36.22583824444444,15.19936,SE
28.092127599999998,12.96416,SSE
29.657252539325842,8.9408,S
34.80373256111111,15.19936,WSW
32.30336643333333,13.85824,WSW
27.489861233333336,12.96416,WSW
28.043283244444446,11.176,SW
25.0452722,8.9408,SSW
17.619100111111113,8.9408,SSW
22.846555322222226,8.04672,S
36.52075962011173,11.176,SE
32.19433345555555,20.1168,SE
21.191783644444445,20.1168,SSE
26.230328022222224,21.01088,SSE
22.785383599999996,20.1168,S
18.23433362777778,24.14016,SW
33.66849690643275,21.01088,SW
27.36640578888889,20.1168,SSE
29.971010794444446,9.83488,SSW
32.57857228333334,12.96416,S
29.859688483333336,16.98752,S
19.71637726111111,17.8816,S
25.956416894444445,16.09344,WSW
25.8783226,13.85824,WNW
17.982078066666666,8.04672,W
17.638066972222223,12.07008,W
16.50206678888889,12.07008,W
18.123572588888887,8.9408,W
16.657094572222224,11.176,W
16.53505032777778,11.176,W
19.593730460674156,9.83488,W
20.983625983240223,11.176,SW
26.452283627777778,8.9408,W
25.877738955555554,11.176,W
30.327155172222223,9.83488,W
31.886626955555553,12.96416,W
27.749311350000003,12.96416,NW
27.7656446,12.96416,NW
26.681229279329607,12.96416,NW
23.225339005555558,9.83488,WNW
29.90680017777778,12.07008,W
32.052421966666664,15.19936,W
30.29440001111111,16.09344,WSW
27.95197818888889,16.98752,WSW
28.465475100558656,16.98752,W
27.91789734285714,16.98752,W
28.802872588888892,15.19936,WSW
29.91433903888889,16.09344,WSW
30.91826122222222,16.98752,W
27.98469976666667,16.98752,WSW
30.277033466666666,16.09344,WSW
27.971933277777776,15.19936,W
18.918433288888888,11.176,W
-0.6773833333333333,4.91744,SSW
2.1407111333333333,1.78816,S
0.47629999999999995,3.12928,ESE
1.084877788888889,4.91744,W
1.0810666666666668,7.15264,W
0.4016777777777778,4.91744,W
